index,gdp,gdp_trend,gdp_cycle,price,price_trend,price_cycle,deflator,deflator_trend,deflator_cycle
1994-03-31,446307.3,451861.124389417,-1.2290998471978898,95.91281618697371,95.40097867277288,0.5365118066099184,114.3,113.97741921835225,0.2830216580266276
1994-06-30,443743.5,453416.89237604116,-2.133443314242145,95.88012720313218,95.6281768723782,0.2634687170604666,114.7,114.0943244627467,0.5308550973988746
1994-09-30,448944.9,454972.6585215802,-1.3248617051334954,95.87576491715595,95.83692656038606,0.040525461493601256,114.3,114.18323070319178,0.10226483879383075
1994-12-31,447168.4,456528.90341175674,-2.0503638086884046,96.29656256998145,96.02904871912108,0.2785759667814913,114.4,114.24637252270901,0.13447033275428844
1995-03-31,452112.9,458082.340283217,-1.3031369599461717,96.11336428016223,96.20638860488086,-0.09669246093487738,113.9,114.28605748513034,-0.33779928507952084
1995-06-30,456276.0,459623.83205797494,-0.7283852194924223,95.84704510823053,96.37095867011975,-0.5436425756462415,113.7,114.30468917146099,-0.5290151925035458
1995-09-30,461708.6,461140.51075786725,0.12319222208412306,95.90897084092444,96.52471322708925,-0.6379116451930678,113.8,114.30442987677796,-0.44130387363092716
1995-12-31,462859.0,462617.4160096945,0.052221118778716935,95.76360141101365,96.66927914206462,-0.9368826778153538,113.9,114.28706396542609,-0.3386769700752579
1996-03-31,466619.8,464039.9424960338,0.5559559140726922,95.77914661619492,96.80589844232976,-1.0606294065299227,113.4,114.25406053307725,-0.7475100045393868
1996-06-30,472493.5,465393.635889456,1.525561065521397,95.97992159220264,96.93524710658659,-0.9855295600923131,113.4,114.20664676042495,-0.706304565720306
1996-09-30,473142.5,466665.65427347214,1.3878985237538721,96.10934215468451,97.0573593936457,-0.9767597685366725,113.3,114.14551604032945,-0.7407352208480322
1996-12-31,478466.0,467847.59314666246,2.269629470982193,96.29682003392925,97.17167248387113,-0.900316344855645,113.1,114.0708576114259,-0.8511004754019225
1997-03-31,479683.8,468935.09603618656,2.292151740117143,96.34728705293564,97.27703104685267,-0.9557692950859287,113.0,113.98233226482418,-0.8618285354451638
1997-06-30,476016.7,469930.44297348766,1.2951399760359195,97.87508019298089,97.37173296939886,0.5169336194727148,114.3,113.8789940056272,0.3696959198216998
1997-09-30,477002.5,470842.63192998635,1.3082647263193525,98.14320390429543,97.45349504832214,0.7077312677511438,114.0,113.75928288127228,0.21160217665836534
1997-12-31,477203.6,471684.4647877446,1.1700905211578183,98.32862727431443,97.5203486724496,0.8288307136592232,114.2,113.62190206794318,0.5087909298606252
1998-03-31,471369.7,472472.5933463682,-0.23343012100590643,98.21873172821184,97.57075629864337,0.6641082370881124,114.1,113.4657051900229,0.5590189642895371
1998-06-30,469286.6,473227.11886496993,-0.8326908386867671,98.20732896689901,97.60368555789177,0.6184637450490582,114.0,113.28990718310192,0.6267926548394254
1998-09-30,470143.1,473967.45329432195,-0.8068809931442988,97.94309354278255,97.61850906582656,0.3325030058972889,113.6,113.09411941702706,0.4473093610707801
